model,seed,history_k,relations,feature_group,validation_pr_auc,test_pr_auc,test_roc_auc,ap_lift_vs_random,precision_at_1pct,recall_at_1pct,brier,ece_10,ci_low,ci_high,train_seconds,graph_build_seconds,edges,training_epochs,delta_low,delta_high,p_b_gt_a
logistic_regression,42,,,,0.09157855529272607,0.05524595352816903,0.66067804697681,2.8975150451836904,0.12,0.06293706293706294,0.21359836772706967,0.4055340458358328,0.03575378960559045,0.09295574355565678,0.07525149988941848,,,,,,
hist_gradient_boosting,42,,,,0.10691468250066476,0.037250193162942986,0.6533171870945419,1.953681459594912,0.05333333333333334,0.027972027972027972,0.020462340191550594,0.013501506764250333,0.029593958694158186,0.05884472083076562,4.167054200079292,,,,,,
xgboost,42,,,,0.1305944773330738,0.03705103503952584,0.5987143208836834,1.943236103471635,0.08,0.04195804195804196,0.026509685387396086,0.043243326065381796,0.02761848874261038,0.060820580845823806,2.910787200089544,,,,,,
feature_mlp,42,,,,0.04354379098967118,0.025727623855808446,0.5991068874037475,1.349350901528415,0.013333333333333334,0.006993006993006993,0.24326382724980092,0.45802172732154534,0.020491094004707996,0.03399163839577178,,,176433.0,20.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.08574958192982485,0.04155639036480861,0.6231180807774528,2.179530963189263,0.08,0.04195804195804196,0.16403281909987813,0.34888103247682256,0.02976731402087255,0.06368853934223086,,1.0419677998870611,519889.0,20.0,,,
paired_delta_graphsage_minus_xgboost,42,,,,,0.0045053553252827755,,,,,,,,,,,,,-0.01382135449460781,0.02113576292564441,0.671
xgboost,42,,,base_temporal_amount,0.038456516290625097,0.02683860593493101,0.570334042741274,1.4076191923914865,0.05333333333333334,0.027972027972027972,0.09577653326632744,0.20574232274897708,0.021103011542352786,0.03628194324616227,2.2463847000617534,,,,,,
feature_mlp,42,,,base_temporal_amount,0.046219819081327294,0.031517860380845565,0.4519376912335999,1.6530346353590333,0.02666666666666667,0.013986013986013986,0.23851564133902328,0.4687084687709808,0.015924440039370966,0.055460998085815845,,,176433.0,8.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",base_temporal_amount,0.06534768925400282,0.03293679989127904,0.6256203358962635,1.7274545397523973,0.04,0.02097902097902098,0.2353091072307448,0.45960585759083433,0.025023763656898002,0.048180216320890916,,0.9937903000973165,519889.0,20.0,,,
xgboost,42,,,behavioral_history,0.07645446925354042,0.026742544394031603,0.5338182274433464,1.4025809996869723,0.05333333333333334,0.027972027972027972,0.041965723590804964,0.09139125032688997,0.01989670039401762,0.0415552561409339,2.739665900124237,,,,,,
feature_mlp,42,,,behavioral_history,0.05116351082453635,0.029654930534601984,0.5898316716585033,1.555328524542062,0.02666666666666667,0.013986013986013986,0.2198692643903394,0.4281074390788873,0.023144488114548608,0.04006525696768013,,,176433.0,20.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",behavioral_history,0.08737015999294963,0.04150028994878403,0.6362305629670044,2.1765886336774845,0.02666666666666667,0.013986013986013986,0.18774048666847618,0.3820503948847453,0.030311355437325355,0.05930193075767933,,1.010443199891597,519889.0,20.0,,,
graphsage,42,1.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.06827761615833905,0.03356520486231208,0.6066602284490011,1.7604128424289551,0.04,0.02097902097902098,0.17516781258300015,0.3605343741287788,0.02509760609633047,0.04743467037644477,,0.6000345000065863,176433.0,20.0,,,
graphsage,42,3.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.08574958192982485,0.04155639036480861,0.6231180807774528,2.179530963189263,0.08,0.04195804195804196,0.16403281909987813,0.34888103247682256,0.02976731402087255,0.06368853934223086,,0.9941197999287397,519889.0,20.0,,,
graphsage,42,5.0,"card1,addr1,DeviceInfo,P_emaildomain,ProductCD",,0.09309056816666411,0.04141790631461748,0.6220725040896306,2.1722678137037144,0.10666666666666667,0.055944055944055944,0.16171124053266983,0.3462615191270908,0.029701526453315936,0.061114844345329884,,1.4097364000044763,858405.0,20.0,,,
