fold,model,validation_pr_auc,test_pr_auc,test_roc_auc,test_ap_lift_vs_random,test_precision_at_1pct,test_recall_at_1pct,brier,gap,training_epochs,edges
1,xgboost,0.04816382076089534,0.07926723085952528,0.6580303916815726,2.9000206412021443,0.22666666666666666,0.08292682926829269,0.028630950765626842,0,,
1,feature_mlp,0.057866827732139844,0.0679075896546492,0.6346013808321771,2.4844240117554586,0.10666666666666667,0.03902439024390244,0.22939015606231763,0,10.0,
1,graphsage,0.09146464235262892,0.0643209136094102,0.6255825072301442,2.3532041564418362,0.12,0.04390243902439024,0.18475573134521175,0,10.0,139582.0
2,xgboost,0.06954814897910791,0.09522621903431755,0.6723829334365324,3.5009639350852044,0.25333333333333335,0.09313725490196079,0.02980752878796642,0,,
2,feature_mlp,0.06207468020048511,0.03975590238858194,0.5922631525197799,1.4616140584037478,0.10666666666666667,0.0392156862745098,0.23522067234269511,0,10.0,
2,graphsage,0.07400587984986468,0.04584153503230065,0.5963790258427932,1.6853505526581123,0.06666666666666667,0.024509803921568627,0.17556229215012567,0,10.0,151811.0
3,xgboost,0.11542727934931536,0.049337255874669875,0.6232623935733755,2.0443614312708513,0.12,0.049723756906077346,0.027787816853973333,0,,
3,feature_mlp,0.05832702747912842,0.028023585387356546,0.5627591548221951,1.1611982895313486,0.02666666666666667,0.011049723756906077,0.23875603505750853,0,10.0,
3,graphsage,0.0640172864897776,0.04112175641311757,0.5804237664928714,1.7039401828639877,0.05333333333333334,0.022099447513812154,0.1831836600761396,0,10.0,164147.0
4,xgboost,0.1414844696548647,0.03326709667615259,0.5812398828573899,1.7447777977003107,0.09333333333333334,0.04895104895104895,0.02571723126549257,0,,
4,feature_mlp,0.05320372402001929,0.0536251066503116,0.6444012695202038,2.8125055935478116,0.16,0.08391608391608392,0.25503591791659636,0,10.0,
4,graphsage,0.05501535020669522,0.026946589084131098,0.5708829705023806,1.41328264427261,0.013333333333333334,0.006993006993006993,0.2201058999666123,0,10.0,176428.0
